pmid,var_a,var_b,title,phrase_a,phrase_b,lit_sign,lit_est,basis,polarity_flipped,corpus_sign,corpus_absmag,corpus_q,agree,ta,tb,bb,lifestyle
36357875,bmi,mets,Association of muscle strength and body mass index with risk factors for metabolic syndrome and its prevalence in Korean adult women.,body mass index,risk factors for metabolic syndrome and its prevalence,1,5.77,effect size,,1,1.3369661278953726,0.0,True,c,b,False,False
35846319,steatosis,fn_bmd,Association of Metabolic Dysfunction-Associated Fatty Liver Disease and Liver Stiffness With Bone Mineral Density in American Adults.,Metabolic Dysfunction-Associated Fatty Liver Disease,Bone Mineral Density,1,,wording,,1,0.5195546176874005,4.561303927343769e-26,True,b,c,False,False
35846319,lsm,fn_bmd,Association of Metabolic Dysfunction-Associated Fatty Liver Disease and Liver Stiffness With Bone Mineral Density in American Adults.,Liver Stiffness,Bone Mineral Density,1,,wording,,-1,0.0022004684625348,0.4543985480314596,False,c,c,False,False
35802704,smoking,dyslipidemia,Association between dual smoking and dyslipidemia in South Korean adults.,dual smoking,dyslipidemia,1,1.66,effect size,,1,0.218347104822309,1.4705587054893577e-08,True,b,b,True,True
35755073,uric,glucose,"Dose-Response Relationship of Uric Acid With Fasting Glucose, Insulin, and Insulin Resistance in a United States Cohort of 5,148 Non-diabetic People.",Uric Acid,Fasting Glucose,1,,wording,,-1,0.106919447846789,1.3905333068936955e-06,False,c,c,False,False
35747262,vitd,insulin_resistance,Dietary Magnesium Intake Level Modifies the Association Between Vitamin D and Insulin Resistance: A Large Cross-Sectional Analysis of American Adults.,Vitamin D,Insulin Resistance,-1,0.92,effect size,,-1,1.94421218715841,5.488470783174397e-09,True,c,b,False,False
35742105,obesity,anemia,Association between Obesity and Anemia in a Nationally Representative Sample of South Korean Adolescents: A Cross-Sectional Study.,Obesity,Anemia,1,2.88,effect size,,-1,0.4789370741836623,1.1557147284725712e-19,False,b,b,True,False
35593078,alcohol,htn,Association between excessive alcohol consumption and hypertension control in hypertensive patients.,excessive alcohol consumption,hypertension control,1,1.31,effect size,,-1,0.217437956388568,0.0004314897147142,False,b,b,True,True
35100057,vitd,sarcopenia,"Associations of Serum Vitamin D Level with Sarcopenia, Non-Alcoholic Fatty Liver Disease (NAFLD), and Sarcopenia in NAFLD Among People Aged 50 Years and Older: The Korea National Health and Nutrition Examination Survey IV-V.",Serum Vitamin D Level,Sarcopenia,1,2.25,effect size,,-1,0.2072049329191309,0.0037006448023207,False,c,b,False,False
38116281,uric,mets,Hyperuricemia is associated with metabolic syndrome: A cross-sectional analysis of the National Health and Nutrition Examination Survey (NHANES).,Hyperuricemia,metabolic syndrome,1,,wording,,1,0.765097910818375,5.0492091326366445e-39,True,c,b,False,False
38035285,smoking,mets,Interactive associations of smoking and physical activity with metabolic syndrome in adult men in Korea.,smoking,metabolic syndrome,-1,,wording,,1,0.3922734994136905,8.16530324505831e-18,False,b,b,True,True
38006815,obesity,fn_bmd,Association between normal-weight obesity and bone mineral density in older Korean adults: A population-based cross-sectional study.,normal-weight obesity,bone mineral density,1,,wording,,1,0.060693818684944,3.856814388176368e-59,True,b,c,False,False
37739857,obesity,uric,"Associations between obesity parameters and hyperuricemia by sex, age, and diabetes mellitus: A nationwide study in Korea.",obesity parameters,hyperuricemia by sex,1,3.43,effect size,,1,0.724019572226671,1.0715512860235489e-62,True,b,c,False,False
37537612,uric,mets,An analysis of the associations of high-sensitivity C-reactive protein and uric acid with metabolic syndrome components in Korean adults by sex: a cross-sectional study using the Korea national health and nutrition examination survey 2016-2018.,uric acid,metabolic syndrome components,1,,wording,,1,0.765097910818375,5.0492091326366445e-39,True,c,b,False,False
37267998,vitd,abdominal_obesity,Association between the serum vitamin D level and prevalence of obesity/abdominal obesity in women with infertility: a cross-sectional study of the National Health and Nutrition Examination Survey data.,the serum vitamin D level,prevalence of obesity/abdominal obesity,1,8.29,effect size,,-1,3.1038846508543,7.984054293822354e-28,False,c,b,False,False
37130102,smoking,uric,Association between smoking behavior and serum uric acid among the adults: Findings from a national cross-sectional study.,smoking behavior,serum uric acid,1,1.84,effect size,,1,0.0263488759816256,0.2857185156292451,True,b,c,False,True
36890477,central_obesity,htn,Association of normal-weight central obesity with hypertension: a cross-sectional study from the China health and nutrition survey.,normal-weight central obesity,hypertension,1,3.08,effect size,,1,1.0248950999333952,1.2472028838513094e-172,True,b,b,True,False
36856982,sarcopenia,prediabetes,Association between sarcopenia and prediabetes among non-elderly US adults.,sarcopenia,prediabetes,1,,wording,,-1,0.4919736809683162,0.0006087478343059,False,b,b,True,False
36634403,bmi,dm,The association of body mass index and odds of type 2 diabetes mellitus varies by race/ethnicity.,body mass index,odds of type 2 diabetes mellitus varies by race/ethnicity,1,,wording,,1,0.5532897468009513,1.1172432892929438e-148,True,c,b,False,False
39463686,obesity,smoking,Relationship between perception of body image on obesity and smoking status by age group in women: Findings of a seven-year Korean National Survey.,perception of body image on obesity,smoking status by age group,1,3.82,effect size,,1,0.050974844358981,0.1983087709490419,True,b,b,True,True
39388423,bmi,uric,Phosphorus modifies the association between body mass index and uric acid: Results from NHANES 2007-2018.,body mass index,uric acid,1,,wording,,1,0.414199787396842,2.4735826713605207e-68,True,c,c,False,False
39350099,mets,sarcopenia,"Associations of metabolic syndrome and its components with sarcopenia, and the mediating role of insulin resistance: Findings from NHANES database.",metabolic syndrome,sarcopenia,1,3.8,effect size,,-1,1.1935785403531072,1.4886046943933672e-16,False,b,b,True,False
39226155,alcohol,htn,Association of alcohol consumption with hypertension or prehypertension in Chinese adolescent: A cohort study of the China Health and Nutrition Survey.,alcohol consumption,hypertension or prehypertension,1,,wording,,-1,0.217437956388568,0.0004314897147142,False,b,b,True,True
39186977,vitd,prediabetes,Association between cardiovascular health and serum vitamin D and its interaction with prediabetes and diabetes.,serum vitamin D and its interaction,prediabetes and diabetes,-1,,wording,,-1,0.0621166527443555,0.0250108928951091,True,c,b,False,False
39046471,vitd,mets,Association of a dietary pattern related to serum vitamin D levels with metabolic syndrome risk among Korean adults: based on the Korean national health and nutrition examination survey.,a dietary pattern related to serum vitamin D levels,metabolic syndrome risk,-1,0.56,effect size,,-1,0.3132096301714506,7.255844346295903e-16,True,c,b,False,False
38983448,hemoglobin,steatosis,Association between hemoglobin and non-alcoholic fatty liver disease (NAFLD) in United States adults: Results from NHANES 2017-2020.,hemoglobin,non-alcoholic fatty liver disease (NAFLD),1,,wording,,1,0.6141247090777281,2.229950483826586e-122,True,c,b,False,False
38977782,alcohol,smoking,Epidemiologic relationship between alcohol flushing and smoking in the Korean population: the Korea National Health and Nutrition Examination Survey.,alcohol flushing,smoking,1,1.725,effect size,,1,1.7213050042476667,1.3062558850207856e-129,True,b,b,True,True
38935368,vitd,insulin_resistance,Associations between Vitamin D Levels and Insulin Resistance in Non-Diabetic Obesity: Results from NHANES 2001-2018.,Vitamin D Levels,Insulin Resistance,-1,,wording,,-1,1.94421218715841,5.488470783174397e-09,True,c,b,False,False
38831414,htn,osteoporosis,Association between hypertension and osteoporosis: a population-based cross-sectional study.,hypertension,osteoporosis,1,2.693,effect size,,1,0.072731270314906,0.6950164135567305,True,b,b,True,False
38791732,bmi,hba1c,The Association between Body Mass Index and Glycohemoglobin (HbA1c) in the US Population's Diabetes Status.,Body Mass Index,Glycohemoglobin (HbA1c),1,,wording,,1,0.145870957569208,3.368946629081148e-86,True,c,c,False,False
38392984,dyslipidemia,hba1c,Association between Dyslipidemia and Glycated Hemoglobin in a Population-Based Study.,Dyslipidemia,Glycated Hemoglobin,1,,wording,,1,0.229562230902064,1.9232469300228704e-72,True,b,c,False,False
41398856,vitd_deficiency,anemia,Dietary magnesium intake as modifier of the association between vitamin D deficiency and risk of anemia in the US children aged 2-14 years: A cross-sectional study.,vitamin D deficiency,risk of anemia,1,,wording,,1,0.7925475647394222,1.5003464415230607e-23,True,b,b,True,False
41377331,vitd,masld,Association between serum vitamin D levels and metabolic dysfunction-associated steatotic liver disease: a cross-sectional study based on NHANES 2021-2023.,serum vitamin D levels,metabolic dysfunction-associated steatotic liver disease,-1,,wording,,-1,0.091613129752408,0.0032703772548778,True,c,b,False,False
41372897,bmi,mets,Association between BMI trajectories and metabolic syndrome in postmenopausal women: a cross-sectional study from NHANES 1999-2018.,BMI trajectories,metabolic syndrome,1,,wording,,1,1.3369661278953726,0.0,True,c,b,False,False
41201483,bodyfat_pct,vitd_deficiency,Association between body fat percentage and vitamin D deficiency among Korean adults: A cross-sectional study.,body fat percentage,vitamin D deficiency,1,1.71,effect size,,1,2.06365042424886,5.537430021257302e-19,True,c,b,False,False
41035737,vitd,steatosis,Association of 25-Hydroxyvitamin D With Metabolic Dysfunction-Associated Fatty Liver Disease: Results From NHANES 2017-2018.,25-Hydroxyvitamin D,Metabolic Dysfunction-Associated Fatty Liver Disease,-1,0.39,effect size,,-1,0.3105139585141629,0.0080530566368898,True,c,b,False,False
40978534,obesity,prediabetes,The relationship between sarcopenic obesity and prediabetes in adolescents: Analysis of the national health and nutrition examination survey from 2011 to 2016.,sarcopenic obesity,prediabetes,1,,wording,,1,0.5344556594021224,6.613797640655247e-75,True,b,b,True,False
40770292,alcohol,htn,Association between daily alcohol intake and hypertension prevalence: evidence from the 2007-2018 NHANES database.,daily alcohol intake,hypertension prevalence,1,1.007,effect size,,-1,0.217437956388568,0.0004314897147142,False,b,b,True,True
40739896,smoking,htn,Riboflavin intake modulates the association between passive smoking and hypertension in children and adolescents aged 6-19 years based on the National Health and Nutrition Examination Survey 2007-2018.,passive smoking,hypertension,1,,wording,,1,0.2328598980357011,1.976295436573446e-06,True,b,b,True,True
40738623,lean_kg,mets,Association between lean mass and the risk of metabolic syndrome in Korean children and adolescents: data from the Korea National Health and Nutrition Examination survey.,lean mass,the risk of metabolic syndrome,-1,0.2,effect size,,1,4.27803921984183,3.134320883919249e-57,False,c,b,False,False
40626218,vitd,sarcopenia,Individual and joint association of serum 25-hydroxyvitamin D and folate levels with the risk of sarcopenia: a cross-sectional study from the NHANES 2011-2018.,serum 25-hydroxyvitamin D,the risk of sarcopenia,1,,wording,,-1,0.2072049329191309,0.0037006448023207,False,c,b,False,False
40529693,mets,age,Evaluating the impact of metabolic syndrome on aging in US adults: a cross-sectional study from NHANES.,metabolic syndrome,aging,1,,wording,,1,0.6960616626202225,0.0,True,b,c,False,False
40513971,obesity,mets,The relationship between youth obesity and metabolic syndrome among middle-aged and elderly adults in the United States.,youth obesity,metabolic syndrome,1,,wording,,1,2.078597117801951,0.0,True,b,b,True,False
40168280,smoking,adv_fibrosis,The relationship between smoking cessation history and significant liver fibrosis among the population with metabolic dysfunction-associated steatotic liver disease in the United States.,smoking cessation history,significant liver fibrosis,1,1.1,effect size,,1,0.1859142578798211,0.129632795178662,True,b,b,True,True
40140832,insulin,sarcopenia,Association between serum insulin level and low muscle mass in older individuals: evidence from the China Health and Nutrition Survey.,serum insulin level,low muscle mass,-1,,wording,,-1,5.37287520854054,6.931565782619352e-14,True,c,b,False,False
40034317,mets,egfr,Analysis of the relationship between components of metabolic syndrome and estimated glomerular filtration rate (eGFR).,components of metabolic syndrome,estimated glomerular filtration rate (eGFR),-1,0.973,effect size,,-1,0.1543211193403229,1.6529361894929438e-11,True,b,c,False,False
39990609,alcohol,sarcopenia,Sex disparity in the association between alcohol consumption and sarcopenia: a population-based study.,alcohol consumption,sarcopenia,1,2.36,effect size,,-1,0.3509674477629149,0.086230530494297,False,b,b,True,True
42566589,anemia,dm,Association of anemia with diabetic kidney disease in adults with type 2 diabetes: A cross-sectional NHANES study and 2-sample Mendelian randomization analysis.,anemia,diabetic kidney disease,1,,wording,,1,0.7636503216518157,3.983691030472296e-21,True,b,b,True,False
42432948,htn,ckd,Bidirectional associations of hypertension and chronic kidney disease risks under metal exposure: A mixture exposure and exploratory decomposition analysis.,hypertension,chronic kidney disease risks under metal exposure,1,,wording,,1,1.1395355644755014,1.2338009685269711e-54,True,b,b,True,False
42318003,smoking,mets,Associations of dual use and conventional cigarette smoking with metabolic syndrome in Korean adults: a population-based study.,conventional cigarette smoking,metabolic syndrome,1,,wording,,1,0.3922734994136905,8.16530324505831e-18,True,b,b,True,True
42266407,asmm_kg,steatosis,"Multimodal evidence for the association between muscle mass and NAFLD: insights from hospital-based data, NHANES and mendelian randomization.",muscle mass,NAFLD,-1,0.16,effect size,,1,2.66514331718575,9.029175665620242e-79,False,c,b,False,False
42260836,dm,sarcopenia,Systemic inflammatory biomarkers and their partial role in the association between diabetes and sarcopenia: A population-based study using NHANES data.,diabetes,sarcopenia,1,,wording,,1,0.779330518670775,7.58841990000453e-05,True,b,b,True,False
42254857,mets,adv_fibrosis,Nonlinear Association Between Metabolic Syndrome Severity and Advanced Fibrosis in Metabolic Dysfunction-Associated Steatotic Liver Disease.,Metabolic Syndrome Severity,Advanced Fibrosis,-1,0.68,effect size,,-1,0.3170816570881473,0.0003049888512069,True,b,b,True,False
