exp,out,measure,est_mec,p_mec,est_saf,p_saf
atherogenic_dyslipidemia,insulin_resistance,OR,3.5307661997138,8.14134523478086e-32,3.47366336431385,1.59036673482798e-31
ckd,insulin_resistance,OR,1.47923724481549,1.19026776683286e-06,1.4790168018828,9.49946698828642e-07
high_alt,insulin_resistance,OR,2.50831676473437,1.5688446412835e-19,2.52121412284036,1.5099825311625902e-20
high_ast,insulin_resistance,OR,1.6536181822114,1.12524498600287e-05,1.66838041722637,4.47473772361491e-06
adv_fibrosis,insulin_resistance,OR,0.902198726968485,0.426708103763842,0.900086585598696,0.404234613756198
anemia,insulin_resistance,OR,0.79877802413621,0.009498413561505,0.798444920317047,0.0091747594869915
leukocytosis,insulin_resistance,OR,1.62339591326915,0.0009012625831797,1.62359421178231,0.0010633476825764
vitd_deficiency,insulin_resistance,OR,1.48575117450438,1.46268944001266e-09,1.47061582093943,1.4653682818241302e-09
osteoporosis,insulin_resistance,OR,0.952026602072714,0.746834975654197,0.962856527024635,0.804780355751827
current_smoking,insulin_resistance,OR,0.966883426605101,0.604649723540959,0.960493545004975,0.533535539209871
age,high_tg,OR,1.20617980893142,5.0522720158106705e-15,1.21385114376796,3.3416861080636003e-16
men,high_tg,OR,1.49778654218948,2.23821352427605e-15,1.50513190350979,8.36306163801824e-16
bmi,high_tg,OR,1.50781836615123,5.13686833311253e-32,1.50313190061377,8.00500957655363e-32
smoking,high_tg,OR,1.36157154920958,4.1469943166213e-10,1.36532876516761,2.42192761742927e-10
alcohol,high_tg,OR,0.862718677954883,0.0087416752970421,0.86714493199994,0.0103533002541945
wc,high_tg,OR,1.6632028887253,1.56749107444752e-33,1.65434847284737,8.92249303898923e-34
height,high_tg,OR,0.948785090800893,0.0858586144169308,0.948901438493399,0.0792067150638221
weight,high_tg,OR,1.47997712052071,8.87301167516711e-27,1.4740659375429,1.44076842758888e-26
whtr,high_tg,OR,1.70841842468817,1.6864341582862e-36,1.70036523197948,1.01485409984384e-36
fat_kg,high_tg,OR,1.61361506697444,6.84052676469754e-19,1.6123019653422,7.22477210353994e-19
lean_kg,high_tg,OR,1.62631881360053,5.5149742487568703e-14,1.61013325784856,2.34312499448295e-13
asmm_kg,high_tg,OR,1.42468882081718,7.757970525078241e-09,1.41089878834166,1.86100225075413e-08
asmi,high_tg,OR,1.4601134998397,6.117807754758789e-11,1.4486815057899,1.0014498910493401e-10
bodyfat_pct,high_tg,OR,2.08933092793377,3.9227926796891204e-21,2.10364268793667,3.72915948560795e-21
asm_pct,high_tg,OR,0.406780783281313,5.15631650948034e-21,0.403964523266817,2.98057199098177e-21
obesity,high_tg,OR,2.2448592883798,3.0942002732080303e-31,2.2281954042344,1.9612321427755502e-31
overweight,high_tg,OR,3.52051991918003,6.2616263359608596e-43,3.45244721189294,3.8522576565580494e-42
abdominal_obesity,high_tg,OR,2.83662567720659,8.36420124016903e-37,2.8095707813378,6.93705246610946e-37
central_obesity,high_tg,OR,5.35001733807026,6.19420259713069e-29,5.16567959226659,1.05147797032372e-28
high_bodyfat,high_tg,OR,3.87963575222491,3.49206928109549e-22,3.87257726361161,9.98840107741477e-23
sarcopenia,high_tg,OR,0.565820532040256,0.0193953298294807,0.561140152485948,0.0162804203056859
sbp,high_tg,OR,1.18463631560294,6.34177948455969e-09,1.17581699569605,1.12512013742754e-08
dbp,high_tg,OR,1.24691682084811,2.12034808163786e-14,1.25299159625374,1.10812590573118e-15
glucose,high_tg,OR,1.41023535325791,4.1051825837356703e-17,1.40209840776378,1.7742889376839e-16
hba1c,high_tg,OR,1.35819123145142,2.94342016610804e-18,1.34708149118247,9.24507380139456e-18
homa_ir,high_tg,OR,2.13258864192829,7.462284950725459e-43,2.10978405966649,2.8619749078156198e-43
tchol,high_tg,OR,1.99673755401194,1.23754427074083e-53,2.01455071032671,6.47960208220954e-54
hdl,high_tg,OR,0.251288677783332,2.6858996761093603e-54,0.255616252433135,1.79841762820707e-54
ldl,high_tg,OR,1.35921167686232,3.17307770303804e-24,1.36598849745814,2.01068833008095e-24
nonhdl,high_tg,OR,2.85676232684316,8.00518897143679e-65,2.87750953617237,6.14714306459825e-65
alt,high_tg,OR,1.31436447980017,2.5842445171895102e-15,1.31626705319973,1.5688795730561902e-15
ast,high_tg,OR,1.10156327919727,0.0055552402482642,1.09987847937274,0.0068817446975771
creatinine,high_tg,OR,0.966881903119007,0.309166403715324,0.960961571021198,0.259091109688976
egfr,high_tg,OR,1.08228478577998,0.0335789917564617,1.09157942436676,0.0184552015350542
hemoglobin,high_tg,OR,1.41753612581461,3.7780053251046906e-15,1.42944364929198,1.2035263736445902e-15
platelet,high_tg,OR,1.14135689795353,5.74973126327475e-08,1.15073296889262,6.20562456158529e-09
wbc,high_tg,OR,1.41815290504665,1.2547738160163501e-20,1.41911217525899,3.38280698157275e-21
fib4,high_tg,OR,0.78114868621003,0.0009572502882034,0.766838355785197,0.0002550340306958
vitd,high_tg,OR,0.968215306669957,0.245768780975736,0.972300146051482,0.302398994226236
fn_bmd,high_tg,OR,0.912066426088878,0.0441756631094211,0.905705455479277,0.038250916795594
ls_bmd,high_tg,OR,0.9461356071245,0.173748912075954,0.943211595688694,0.152022591419315
insulin,high_tg,OR,2.00016991199747,5.04309923871902e-43,1.97898016832886,8.255136793980099e-43
ggt,high_tg,OR,1.44368778047018,1.1801375406137601e-15,1.43651325611993,1.04208104909365e-15
uric,high_tg,OR,1.43558018840693,6.870473541132431e-23,1.43031017402986,5.12439374777355e-23
cap,high_tg,OR,2.03406513616107,2.56734781150974e-05,2.05649147156326,4.22169168401911e-05
lsm,high_tg,OR,0.99392528475242,0.935794051601664,1.01529818595943,0.823381988517608
dm,high_tg,OR,1.87387877941761,1.86030778924232e-15,1.85503173806067,1.6162734770349301e-15
prediabetes,high_tg,OR,1.06265408551838,0.225561200686284,1.06329436756222,0.208491808554615
htn,high_tg,OR,1.36147095477088,1.16104749939769e-07,1.34198523091266,4.47377457614111e-07
low_hdl,high_tg,OR,4.90196688239721,3.62949411364512e-58,4.83896004597628,1.5986900128425398e-57
high_ldl,high_tg,OR,2.29526015998824,9.70372705900519e-23,2.31035844582188,1.4981413228384499e-22
high_nonhdl,high_tg,OR,6.82214835538224,1.15386177333252e-55,6.84369776032091,1.02773830577638e-55
insulin_resistance,high_tg,OR,3.27168084955729,1.66496601870536e-40,3.23620820934785,4.19716944940084e-40
ckd,high_tg,OR,1.20252241543255,0.0058497267091641,1.18817360730355,0.0090754640851501
high_alt,high_tg,OR,1.96380921194573,1.2347260928162201e-17,1.9517252025648,1.2743314264847401e-17
high_ast,high_tg,OR,1.44560267569042,0.0001478734965266,1.43813402724328,0.0001209644075482
adv_fibrosis,high_tg,OR,0.551584623922835,0.0002034971026275,0.527465004996401,4.11839824759422e-05
anemia,high_tg,OR,0.600061366960079,9.01396346277584e-06,0.589748120975854,3.89010457584774e-06
leukocytosis,high_tg,OR,1.84015938639687,2.12747673316738e-06,1.84676164190915,1.21340321746747e-06
vitd_deficiency,high_tg,OR,0.944402314030744,0.338832224362212,0.940746106566935,0.29716865108531
osteoporosis,high_tg,OR,1.08111604711486,0.602054650214968,1.0769063833332,0.623783607163944
current_smoking,high_tg,OR,1.54271298024422,1.57795626780491e-10,1.53478250051673,6.89478274106713e-11
