papers,in_corpus,abs_log_or,a,b
1,True,0.162608661763479,"Serum 25(OH)D, ng/mL",Advanced liver fibrosis (FIB-4>2.67)
1,True,,"HbA1c, %","Body mass index, kg/m2"
1,True,0.15060452391389312,"Serum 25(OH)D, ng/mL",Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30)
4,True,0.5271215214349395,Diabetes mellitus,"HDL cholesterol, mg/dL"
1,True,1.011262261803105,"Age, years",Diabetes mellitus
1,True,,"HbA1c, %","Serum uric acid, mg/dL"
1,False,,"HbA1c, %","Fasting glucose, mg/dL"
1,True,0.43350250338444196,"HbA1c, %",Dyslipidemia (KSoLA composite)
1,True,0.21212197659069776,"Alanine aminotransferase, IU/L",Diabetes mellitus
1,True,0.31886733264517886,Ever smoking (past/current),Diabetes mellitus
1,True,0.19728359873166476,Ever smoking (past/current),"Age, years"
1,True,0.7925475647394222,Vitamin D deficiency (<20 ng/mL),Anemia (WHO)
1,True,0.3207794077449465,"Serum 25(OH)D, ng/mL",MASLD
1,True,0.50252112122915,"Body fat, %",Vitamin D deficiency (<20 ng/mL)
1,True,0.33848683478466013,"Total fat mass, kg",Vitamin D deficiency (<20 ng/mL)
1,True,,"Age, years","Femoral neck BMD, g/cm2"
1,True,0.5344556594021224,Prediabetes,"Obesity (KSSO >=25 / WHO >=30, country-specific)"
1,True,1.4729067002102183,"Total lean mass, kg",Metabolic syndrome
1,True,0.14792669081139764,"Total fat mass, kg",Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30)
1,True,0.7568980607008647,"Osteoporosis (T-score<=-2.5, age>=50)","Waist circumference, cm"
3,True,0.6960616626202225,"Age, years",Metabolic syndrome
1,True,1.8162005913756112,"Body fat, %",Hepatic steatosis
1,True,,"Serum 25(OH)D, ng/mL","ASM / height^2, kg/m2"
2,True,0.3710259427353818,"Age, years",Hepatic steatosis
1,True,0.3178682202257105,Hypertension,Hepatic steatosis index (HSI)
1,True,,"Lumbar spine BMD, g/cm2","Total cholesterol, mg/dL"
1,False,,"Age, years",Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30)
1,True,0.1859142578798211,Ever smoking (past/current),Advanced liver fibrosis (FIB-4>2.67)
1,True,0.7710766608604458,"Low muscle mass (low ASMI, AWGS cut)","Fasting insulin, uIU/mL"
1,True,0.4957603903603533,Hypertension,Advanced liver fibrosis (FIB-4>2.67)
1,True,0.22989482237163827,Hypertension,"HbA1c, %"
1,False,,"Low muscle mass (low ASMI, AWGS cut)","Body mass index, kg/m2"
1,True,,"Serum 25(OH)D, ng/mL","Triglycerides, mg/dL"
2,False,,"Low muscle mass (low ASMI, AWGS cut)","Obesity (KSSO >=25 / WHO >=30, country-specific)"
2,True,1.9663529709333163,"Low muscle mass (low ASMI, AWGS cut)",Diabetes mellitus
2,True,0.31708165708814734,Advanced liver fibrosis (FIB-4>2.67),Metabolic syndrome
1,True,0.5777423176218645,MASLD,"Hemoglobin, g/dL"
1,True,0.040109415577014064,"Liver stiffness, kPa",Ever alcohol (past/current)
1,True,0.18150346863847297,"Osteoporosis (T-score<=-2.5, age>=50)","Serum uric acid, mg/dL"
1,True,1.2273185002078937,"Fasting insulin, uIU/mL",Hepatic steatosis
