exp,out,measure,est,lo,hi,p,n,adj,q
atherogenic_dyslipidemia,sbp,beta,1.36271600786323,0.86365231876488,1.86177969696158,9.38550452887014e-08,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.9019417117767914e-07
insulin_resistance,sbp,beta,2.36690851198916,1.71310972462252,3.0207072993558,2.1621900213720098e-12,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",5.2700576161053415e-12
ckd,sbp,beta,6.49753704778938,5.45312700639639,7.54194708918237,8.446512799520139e-33,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",3.3538464577125063e-32
high_alt,sbp,beta,1.78320065412626,1.17508354292076,2.39131776533176,1.00090995465511e-08,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",2.1208384006549878e-08
high_ast,sbp,beta,2.34927912602005,1.4630537021053,3.2355045499348,2.18080807260116e-07,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",4.3566681972213755e-07
adv_fibrosis,sbp,beta,1.22550497664826,-0.0274620142930944,2.47847196758961,0.0553343907766039,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.07193279931975254
anemia,sbp,beta,-1.27280232390203,-1.93225011979664,-0.613354528007428,0.0001580854203241,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0002676811780680193
leukocytosis,sbp,beta,0.634612201146782,-0.914878543618381,2.18410294591194,0.422190306489599,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.47174944779707095
vitd_deficiency,sbp,beta,1.00769949979459,0.318849552073795,1.69654944751539,0.0042166343164355,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0063061511942614995
osteoporosis,sbp,beta,0.464272092439471,-1.26047499421939,2.18901917909834,0.598033796559968,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.6427448982252693
current_smoking,sbp,beta,0.454726431698905,0.0023208682794937,0.907131995118316,0.048927250139618,37324,"Age, years, Male sex, Ever alcohol (past/current), Body mass index, kg/m2",0.06406013940213182
age,dbp,beta,0.779606779850624,0.648647145279173,0.910566414422075,8.959589558261191e-31,37324,unadjusted,3.418816297312667e-30
men,dbp,beta,5.19027614994218,4.94917296347141,5.43137933641295,9.666933871852051e-304,37324,unadjusted,6.423951150313758e-302
bmi,dbp,beta,2.35697209665674,2.22923283606187,2.48471135725161,1.11566569321691e-236,37324,"Age, years, Male sex",4.465198376715861e-235
smoking,dbp,beta,0.293515209120836,-0.0386799224838965,0.625710340725568,0.0834186941066193,37324,"Age, years, Male sex",0.10560770691715068
alcohol,dbp,beta,0.486657252754851,0.100792969765444,0.872521535744258,0.0134938167623024,37324,"Age, years, Male sex",0.01904055394103728
wc,dbp,beta,2.329506614219,2.19345711477363,2.46555611366436,8.713059553627889e-209,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.515360307203068e-207
height,dbp,beta,0.354716261861284,0.145189961626567,0.564242562096002,0.0009172992446855,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",0.001463854979511704
weight,dbp,beta,2.58596886445695,2.43828403541623,2.73365369349767,7.075053331524699e-217,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.3288166199654197e-215
whtr,dbp,beta,2.30355479797432,2.16539715847527,2.44171243747336,1.33174944638736e-199,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",3.2126175001207416e-198
fat_kg,dbp,beta,2.50861837401496,2.13942928961229,2.87780745841762,1.24753070459434e-34,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",5.138951042785105e-34
lean_kg,dbp,beta,3.69099104800442,3.20947438671489,4.17250770929395,4.7401967017379496e-42,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.2112546733140477e-41
asmm_kg,dbp,beta,3.26873326416307,2.76399144114531,3.77347508718083,5.2135387216677e-32,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.037967078547574e-31
asmi,dbp,beta,2.67412402012349,2.25573294314979,3.09251509709718,2.5259586757006704e-31,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",9.765561422412472e-31
bodyfat_pct,dbp,beta,2.63280046823115,2.0940285424942,3.17157239396809,5.42672056014447e-20,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.6252474330636755e-19
asm_pct,dbp,beta,-2.81734920807374,-3.46113005614741,-2.17356836000007,1.3681098990503001e-16,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",3.755637618437379e-16
obesity,dbp,beta,4.33588284172556,4.07902316570572,4.59274251774541,6.83382120187086e-204,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.8096780656382833e-202
overweight,dbp,beta,4.15705591278083,3.91864239704044,4.39546942852123,2.40194167697674e-215,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",7.69058053301098e-214
abdominal_obesity,dbp,beta,3.71703475314335,3.44017829938449,3.99389120690221,5.52125796212766e-137,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",7.123029502788871e-136
central_obesity,dbp,beta,4.09163916463761,3.82166617395367,4.36161215532155,1.9281770795144998e-169,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",3.2493012794497934e-168
high_bodyfat,dbp,beta,2.48949988500428,1.7163919764664,3.26260779354217,6.32571278515076e-10,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.4124305273793276e-09
sarcopenia,dbp,beta,-3.15185816119432,-4.02164900907137,-2.28206731331727,4.48099676929244e-12,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.0794849946270844e-11
