exp,out,measure,est,lo,hi,p,n,adj,q
leukocytosis,hba1c,beta,0.180368148681439,0.109412705158009,0.25132359220487,2.17344429172802e-06,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",4.958561486779727e-06
vitd_deficiency,hba1c,beta,0.174986766704072,0.139841909358591,0.210131624049553,7.4826862698891e-17,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",3.532399389460773e-16
osteoporosis,hba1c,beta,0.0123552923112908,-0.0788156114582381,0.10352619608082,0.791305356549692,25480,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.8196920635010687
current_smoking,hba1c,beta,0.111620227750678,0.0761006117966278,0.147139843704728,1.02417884349389e-08,25480,"Age, years, Male sex, Ever alcohol (past/current), Body mass index, kg/m2",2.8293655760208303e-08
age,homa_ir,beta,0.480537009236068,0.313974447908399,0.647099570563737,1.03375517189872e-07,12256,unadjusted,2.631618700148865e-07
men,homa_ir,beta,0.62912562963824,0.35786117025747,0.900390089019011,1.29084478252124e-05,12256,unadjusted,2.7603145727859596e-05
bmi,homa_ir,beta,2.16501197390485,1.95592678642386,2.37409716138584,9.14652407001315e-41,12256,"Age, years, Male sex",1.6908247299519636e-39
smoking,homa_ir,beta,0.0649729382179066,-0.192075684360875,0.322021560796688,0.621202410914397,12256,"Age, years, Male sex",0.6688831621059756
alcohol,homa_ir,beta,-0.782097048090536,-1.2071475425375,-0.357046553643568,0.0004522058105077,12256,"Age, years, Male sex",0.0008372831878502953
wc,homa_ir,beta,2.2394892522763,2.01748808545608,2.46149041909652,2.07975713287314e-39,12256,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",3.5937125126906956e-38
height,homa_ir,beta,0.105975682950383,-0.0834696253538458,0.295420991254611,0.275107238004937,12256,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",0.32770979631060854
weight,homa_ir,beta,2.17235967745747,1.93103082663067,2.41368852828427,5.23344778742037e-35,12256,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",7.341673562778364e-34
whtr,homa_ir,beta,2.25340435213313,2.02780026769613,2.47900843657013,5.13477199023003e-39,12256,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",8.428696262800829e-38
fat_kg,homa_ir,beta,2.07674885683112,1.62595378173856,2.52754393192368,1.8411620624437999e-13,12256,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",6.930197068532514e-13
lean_kg,homa_ir,beta,2.48555122403361,1.84821260415606,3.12288984391115,7.07723825194062e-11,12256,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.2670084635366064e-10
asmm_kg,homa_ir,beta,2.15437889682017,1.61434707197923,2.69441072166111,3.3349392114224096e-11,12256,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.0805093792290788e-10
asmi,homa_ir,beta,2.04011227523963,1.58061253423299,2.49961201624627,7.49700209202994e-13,12256,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.7011056717732645e-12
bodyfat_pct,homa_ir,beta,2.15524381877693,1.75408558176041,2.55640205579344,3.17854434070772e-16,12256,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.432155058296098e-15
